experiment_id,cortex_region,division,projection_strength_ipsi,projection_density_ipsi,projection_strength_contra,projection_density_contra,injection_volume
596798450,MOs,CPp,0.8320333,6.38E-06,1.6089865,8.301699119520255e-06,0.007647119
566992832,VISp,CPp,0.001764345,3.07E-07,24.635303,9.531580470560291e-05,0.003263338
297892843,ORBvl,CPp,0,0,0,0,0.023933981
277852088,SSp-m,CPp,666.4766,0.001277847,8.704122,9.193363099024282e-05,0.186192748
670228985,SSp-bfd,CPp,6026.733,0.010378661,641.34296,0.003324523,0.070089781
520728084,SSs,CPp,2478.7964,0.0033781,0.000877172,3.074703377600094e-07,0.036157813
597007143,VISa,CPp,6260.735,0.015749861,537.7823,0.003562428,0.353366989
569994739,AUDp,CPp,14221.709,0.021026436,0,0,0.112992961
297945448,SSs,CPp,814.2106,0.001645735,0,0,0.142636883
277907462,SSp-tr,CPp,9484.148,0.008821939,0.14887749,7.302420521800223e-06,0.138895194
670657874,VISp,CPp,0.1268101,3.61E-06,0.17209488,4.227717144200129e-06,0.029702161
520750912,VISl,CPp,29535.74,0.01770714,703.7733,0.001633897,0.054751517
597007858,MOp,CPp,9.720167,3.88E-05,0.000292633,3.074703377600094e-07,0.031324492
570460301,VISpm,CPp,433.42102,0.001321508,0,0,0.100629987
297946154,VISpm,CPp,30.574598,4.83E-05,0,0,0.071164454
277908168,ACAd,CPp,3.4798188,2.03E-05,0,0,0.065703992
671033786,VISp,CPp,23.113197,9.48E-05,1.4318467,1.6449663070160503e-05,0.042715569
597256577,VISp,CPp,3.5557246,4.30E-05,534.6082,0.002062127,0.133544179
520985971,VISp,CPp,389.9848,0.001099206,0,0,0.033481996
297946935,MOs,CPp,10.968489,4.20E-05,0,0,0.108621181
571823196,ACAv,CPp,7.0635366,4.46E-05,0.8186802,6.456877092960198e-06,0.119547035
277956496,ORBm,CPp,40.170242,0.000219764,0,0,0.13142485
671463542,MOs,CPp,0.3501289,9.07E-06,3.7044585,3.8126321882241165e-05,0.036439394
598604288,MOs,CPp,377.09763,0.000894431,171.57454,0.000574431,0.080707052
520996382,VISal,CPp,3725.5913,0.007323867,1.3748538,1.921689611000059e-05,0.078424206
297947641,MOs,CPp,5.705943,3.33E-05,0,0,0.036611845
572588941,VISpm,CPp,10561.879,0.014927147,10.561591,5.0117665054881535e-05,0.435706354
671464291,MOs,CPp,100.51617,0.000257506,0.000932831,7.686758444000235e-08,0.044265336
521264566,RSPv,CPp,36.220394,0.000199164,0,0,0.187878858
599076623,RSPv,CPp,7.1387653,9.45E-05,0,0,0.013946175
297948420,SSp-m,CPp,309.05206,0.000579582,0,0,0.180959097
572770444,VISl,CPp,16467.227,0.024966822,406.82227,0.002789448,0.027157334
521402511,VISrl,CPp,232.01698,0.001159163,4.551202,3.059329860712093e-05,0.06297063
601476074,VISp,CPp,21.007465,0.000249128,1818.8931,0.005216695,0.597899176
297951732,SSp-ul,CPp,661.6368,0.001272543,2.9351025,2.8979079333880887e-05,0.322666666
572969377,AUDd,CPp,13225.181,0.025447936,241.97969,0.002321017,0.04534583
602094339,VISp,CPp,0,0,90.36773,0.000183099,0.011171836
521600217,ORBl,CPp,0.20881224,4.54E-06,0.020091888,9.224110132800282e-07,0.077308324
297985755,SSp-m,CPp,97.969696,0.000320922,0,0,0.180352203
574941472,VISp,CPp,6.210622,6.34E-05,5081.716,0.009317351,0.243418535
602166541,VISp,CPp,0,0,229.62036,0.000278645,0.002334407
522408611,VISp,CPp,0.000785061,3.07E-07,375.04526,0.001809309,0.030385189
297987980,MOs,CPp,44.31913,0.000210848,59.981422,0.000233677,0.224016867
574950390,VISp,CPp,1331.9657,0.002821425,0,0,0.216288822
522409371,VISp,CPp,0.9142217,6.30E-06,235.18895,0.000580888,0.044148902
602828622,MOs,CPp,12.359508,4.71E-05,27.615282,0.000174797,0.014112638
298000163,MOs,CPp,74.126305,0.000323613,46.984142,0.000183637,0.114944004
522635991,VISrl,CPp,8448.935,0.009578316,989.5521,0.002343308,0.040053504
298000880,RSPv,CPp,0,0,0,0,0.076824366
603208501,VISal,CPp,2425.9363,0.005257358,1.3715357,6.687479846280204e-06,0.018129904
522636747,VISp,CPp,0.914974,1.18E-05,1919.2085,0.002773536,0.027628907
603211567,MOs,CPp,11.331291,4.79E-05,0,0,0.015842674
522773270,ORBvl,CPp,1660.9916,0.004014256,54.443756,0.000203622,0.380091471
603331422,MOs,CPp,0.69081503,1.38E-05,0.70104384,8.14796395064025e-06,0.015558579
522774029,ACAd,CPp,0,0,2.3129945,2.2060996734280675e-05,0.011224124
514333422,AM,CPvm,43316.74,0.047633843,7.2526484,5.857309934328179e-05,0.066547846
165972951,BMA,CPdm,2912.5444,0.009721443,1897.7424,0.006119582,1.178902133
128055110,DR,CPdm,8627.314,0.028168588,3183.9993,0.013759528217513741,0.109670761
310437091,LA,CPdm,15.068584,9.22E-05,0.011223372,9.992785977200306e-07,0.080284173
286610216,CA1,CPvm,16484.725,0.013140283,24.111012,5.742008557668176e-05,0.095978897
182805258,SGN,CPdm,60678.324,0.039185019,22.395365,0.000151506,0.297658673
312240825,VPM,CPdm,64701.754,0.028332392,0,0,0.179963554
113226232,ENTm,CPdm,58241.707,0.104558594,122.88915,0.000843852,0.545025354
142654100,ENTl,CPvm,150801.73,0.124198569,51959.176,0.078459512,0.167806341
287225747,PIR,CPdm,339.67773,0.001142252,0.7758924,1.5527252056880476e-05,0.219518804
183329222,MD,CPdm,42357.664,0.088165044,5.0360403,5.972611310988183e-05,0.030693198
159331462,PT,CPdm,354200.47,0.130652448,1052.0427,0.003425835,0.278802235
175372863,AAA,CPdm,2414.5952,0.007835805,83.21044,0.000371117,0.480439512
294174996,NLOT,CPdm,11526.134,0.030572314,2565.2163,0.007865706,0.024164012
286646170,MD,CPdm,440.36942,0.002277971,23.313133,0.000173336,0.010867808
300889379,MD,CPdm,4704.69,0.01243902,3.5957866,2.682678696956082e-05,0.026037995
100142569,AV,CPvm,13972.086,0.021584418,0,0,0.162270419
516846757,LA,CPdm,84.63509,0.000596262,0,0,0.14017036
301060890,MD,CPdm,13835.69,0.041022001,19.552067,0.000412856,0.006322466
286610923,CA1,CPvm,14259.163,0.019421287,156.92812,0.000459976,0.184707342
267813932,BMA,CPdm,27662.152,0.070629857,3752.4727,0.012810444152433032,0.129129661
146553971,ENTl,CPvm,94140.516,0.10067655,54206.43,0.086477647,0.227148928
147635309,PAG,CPdm,1881.4796,0.006965126,140.70282,0.000991746,0.371044934
162018169,VPMpc,CPdm,2030.3661,0.003953838,5.576299,8.82439869371227e-05,0.098908578
551350026,PIR,CPdm,77.69176,0.000320692,0.2519847,3.689644053120113e-06,0.223544037
155735826,AD,CPdm,3188.6626,0.010256903,91.613625,0.000418083,0.003086094
127139568,ENTm,CPdm,68297.62,0.072801674,207.2976,0.000797271,0.552532546
168300027,DR,CPdm,901.66956,0.002749938,6438.573,0.010735634313228489,0.075405
159432479,PT,CPdm,19734.328,0.034200771,421816.4,0.13475471745974157,0.388078785
147787606,SMT,CPdm,468.77856,0.001798932,8434.705,0.012931587465510475,0.124351845
287027773,LA,CPdm,2865.169,0.009781477,2740.7634,0.007449314,0.02282164
268076421,MD,CPdm,1019846.8,0.214960046,7.198303,6.326202199412194e-05,0.347851862
264707643,MD,CPdm,229287.52,0.179698425,106.33251,0.000663598,0.091817152
114427219,AV,CPvm,3899.7407,0.007002944,0,0,0.171198219
182226839,CA1,CPvm,59684.844,0.040203668,465.05328,0.00150353,0.178569406
180297139,ENTl,CPvm,71644.54,0.082943275,17280.596,0.0371129,0.217854216
508775240,BMA,CPdm,17556.33,0.043631271,3421.1182,0.01017158,0.100639855
558580065,ENTm,CPdm,55539.223,0.071962049,628.311,0.001841517,0.201477181
167373923,PT,CPdm,47818.004,0.055077853,469.26505,0.001013653,0.075330175
160538548,PAG,CPdm,1090.6578,0.002415641,194.40028,0.000868988,0.023313713
301735080,VPMpc,CPdm,945.4049,0.003388477,1.3879107,3.628149985568111e-05,0.067953759
112307046,PIR,CPdm,377.57092,0.001382156,1.9509819,1.929376369444059e-05,0.138655457
268163228,SMT,CPdm,19611.004,0.020341161,237.18071,0.001180994,0.088655504
146658170,AM,CPdm,679945.06,0.205943017,1023.76154,0.003818244,0.213060624
480074702,DR,CPdm,10269.096,0.029930008,12271.522,0.032841214,0.137301695
113784293,LD,CPdm,89118.86,0.07016427,1.9388505,2.8056668320600857e-05,0.107922108
585026021,ENTm,CPdm,33819.586,0.051844265,44.433975,0.000220456,0.239679639
127761449,CEA,CPvm,16415.154,0.040925839,1737.2463,0.006193682,0.873686307
146046430,AV,CPvm,19072.127,0.029799718,0,0,0.106525138
272819994,MEA,CPdm,206.029,0.000617631,28.963076,8.447747529956259e-05,0.159680171
640081415,ENTl,CPvm,48618.29,0.071346647,3898.0525,0.012150920277937812,0.154538591
158840459,AM,CPdm,455988.12,0.14297609,814.26807,0.002690212,0.372347825
558697990,MD,CPdm,61762.637,0.066063999,596.11536,0.002414334,0.084566748
204832917,BST,CPdm,1900.4674,0.005658915,217.57484,0.000710564,0.43485493
266839077,PT,CPdm,13809.654,0.023365286,15.45294,7.041070734704216e-05,0.054529596
100141993,SNr,CPdm,12446.908,0.028091259,155.84877,0.001592389,0.225743804
266500714,PAG,CPdm,4008.5754,0.008533839,264.6347,0.001108431,0.038178759
127907465,PIR,CPdm,3351.6938,0.011320059,1.0573355,1.0992064574920336e-05,0.2898556
171021829,VTA,CPdm,116824.68,0.126255622,1782.2942,0.004850729,0.252069099
175817683,LD,CPdm,371496.16,0.199052684,6.4977365,7.079504526924216e-05,0.128424913
649181539,DR,CPdm,2065.7783,0.023159588,2440.496,0.030180980884184763,0.051669262
585051446,ENTm,CPdm,39840.18,0.056420115,46.228188,0.000225299,0.194701578
266174045,AM,CPdm,145179.81,0.085018777,6.894183,0.000105155,0.095905172
146795148,CEA,CPvm,2125.963,0.007764318,5.897057e-05,7.686758444000235e-08,0.245500388
182805965,AV,CPvm,6552.5254,0.016630148,0,0,0.037242477
116904684,MD,CPdm,112411.805,0.149180688,4.65776,5.280803051028162e-05,0.087911909
642967852,ENTl,CPvm,60279.07,0.073978747,13542.852,0.032599081355498355,0.156087128
131068390,PIR,CPdm,130.27245,0.000560365,15.505552,0.000141667,0.247879671
158914182,SNr,CPdm,347597.78,0.213863761,2699.0273,0.010772377018590809,0.539167149
125361005,MEA,CPdm,1215.6064,0.003914866,6.1975975,4.412199346856135e-05,0.608468358
167026321,BST,CPdm,1884.3441,0.00525682,218.05081,0.000632543,0.263431232
267608343,LD,CPdm,574226.5,0.198042029,0.7469539,2.1292320889880652e-05,0.299916887
171067319,PT,CPdm,5644.891,0.012560471,5.7500777,0.000109306,0.10134129
127867804,VTA,CPdm,6464.1665,0.014286071,248444.97,0.18802287733048104,0.77849229
272699357,PAG,CPdm,1436.0883,0.002430169,1856.9918,0.0035695,0.127068849
114155190,DR,CPdm,11115.917,0.036441538,7590.024,0.026961151507161944,0.132449832
626107114,ENTm,CPdm,8060.804,0.023579746,102.84249,0.0003725,0.212027998
167571459,AM,CPdm,347494.4,0.160006257,590.47626,0.001975497,0.242287223
305425490,LD,CPdm,189846.86,0.107566883,0.003695956,7.686758444000235e-07,0.157771386
181890477,CEA,CPvm,5761.4453,0.021874209,398.483,0.002072658,0.902442251
168004394,MD,CPdm,7562.4663,0.02252912,10.8789625,7.894300921988242e-05,0.05029411
175818392,AV,CPvm,13767.052,0.017511896,0.03195273,1.30674893548004e-06,0.184191588
516278420,ENTl,CPvm,3060.8987,0.014334959,358.51086,0.002334853,0.146326838
146857301,PIR,CPdm,1552.5656,0.00455648,157.12453,0.000647071,0.22726837
175263063,SNr,CPdm,219.14972,0.000881902,3.7224414,8.724470833940267e-05,0.168865662
157550122,MEA,CPdm,388.1709,0.000939014,0.37544703,6.380009508520195e-06,0.104134565
122641784,CA1,CPdm,934.66144,0.002610346,3.2432013,3.950993840216121e-05,0.069546656
305125123,PT,CPdm,82310.65,0.06509001,115.625854,0.000489108,0.064856998
301016900,PB,CPdm,247.34497,0.001045553,108.09905,0.000352745,0.398177489
300078194,ENTm,CPdm,4293.5015,0.013795272,1.1729094,3.566655918016109e-05,0.093931628
114472145,ENTl,CPdm,256347.42,0.180317978,83184.305,0.10733243731352404,0.354961684
165975096,VTA,CPdm,99722.51,0.124279664,202131.47,0.17791063912706095,0.952338696
506947040,AM,CPdm,104013.516,0.123436581,28.157356,0.00048073,0.08460977
146658879,LP,CPdm,265871.53,0.19029001,2.2008421,5.165501674368158e-05,0.321227987
292478008,AV,CPvm,923.3065,0.001181224,0.50575984,1.2298813510400376e-05,0.101680802
