experiment_id,ccf_id,ccf_region,layer,celltype,dispersion,size
192981_023,772,ACAv,L5,ET,21.40425219,13
192981_023,772,ACAv,L5,ET,21.40425219,13
192981_025,772,ACAv,L5,ET,33.66462534,10
192981_025,772,ACAv,L5,ET,33.66462534,10
192981_027,772,ACAv,L5,IT,57.83747403,122
192981_028,772,ACAv,L5,IT,24.09800712,24
192981_029,772,ACAv,L5,ET,40.6246107,62
192981_029,772,ACAv,L5,ET,40.6246107,62
192981_030,772,ACAv,L5,IT,40.38662047,63
192981_032,772,ACAv,L5,IT,19.66072092,4
192981_033,772,ACAv,L5,ET,10.31741148,7
192981_033,772,ACAv,L5,ET,10.31741148,7
192981_035,772,ACAv,L5,IT,,0
192981_037,772,ACAv,L5,IT,41.1687022,35
192981_038,772,ACAv,L5,IT,54.74224746,38
192981_039,772,ACAv,L5,ET,9.930369827,7
192981_039,772,ACAv,L5,ET,9.930369827,7
192981_040,772,ACAv,L5,IT,69.23992094,107
192981_041,772,ACAv,L5,ET,40.53115717,44
192981_041,772,ACAv,L5,ET,40.53115717,44
192981_042,772,ACAv,L5,ET,37.08998882,6
192981_042,772,ACAv,L5,ET,37.08998882,6
192981_045,772,ACAv,L5,IT,51.70589621,41
192981_047,772,ACAv,L5,IT,36.90719395,66
192981_048,772,ACAv,L5,IT,41.47382789,25
192981_049,772,ACAv,L5,ET,34.69540742,38
192981_049,772,ACAv,L5,ET,34.69540742,38
192981_050,772,ACAv,L5,ET,46.61955294,9
192981_050,772,ACAv,L5,ET,46.61955294,9
192981_052,772,ACAv,L5,ET,43.13487318,9
192981_052,772,ACAv,L5,ET,43.13487318,9
192981_053,772,ACAv,L5,IT,,1
192981_056,772,ACAv,L5,ET,36.98665091,9
192981_056,772,ACAv,L5,ET,36.98665091,9
192981_058,772,ACAv,L5,ET,,1
192981_058,772,ACAv,L5,ET,,1
192981_059,772,ACAv,L5,IT,50.09415624,35
192981_062,772,ACAv,L5,IT,66.38564582,78
192981_063,772,ACAv,L5,IT,44.30365358,171
192981_064,772,ACAv,L5,ET,46.07814179,24
192981_064,772,ACAv,L5,ET,46.07814179,24
192981_065,772,ACAv,L5,ET,41.08192334,28
192981_065,772,ACAv,L5,ET,41.08192334,28
192982_001,772,ACAv,L5,ET,13.80442276,14
192982_001,772,ACAv,L5,ET,13.80442276,14
192982_002,772,ACAv,L5,IT,50.06755179,61
192982_004,772,ACAv,L5,ET,18.31684107,15
192982_004,772,ACAv,L5,ET,18.31684107,15
192982_005,772,ACAv,L5,ET,38.86156782,17
192982_005,772,ACAv,L5,ET,38.86156782,17
192982_006,772,ACAv,L5,ET,41.24924242,2
192982_006,772,ACAv,L5,ET,41.24924242,2
192982_007,772,ACAv,L5,ET,21.67692065,3
192982_007,772,ACAv,L5,ET,21.67692065,3
192982_008,772,ACAv,L5,IT,,0
192982_012,772,ACAv,L5,ET,46.73023853,28
192982_012,772,ACAv,L5,ET,46.73023853,28
